nome,price,old_price,average_year,var_year,std_year,average_six_months,var_six_months,std_six_months,average_three_months,var_three_months,std_three_months,status
Smartphone Samsung Galaxy M14 5G 128GB 4GB RAM Tela Infinita de 6.6 Dual Chip,801.17,1872,993.56,17269,131,929.0,4230.94,65.05,901.29,939.1,30.64,FINISHED
"Smartphone Motorola Moto G53 128GB 4GB RAM 5G NFC Tela de 65""",662.29,1099,1314.98,157148,396,997.45,12210.01,110.5,910.98,5865.68,76.59,FINISHED
Suporte North Bayou Nb F80 De Mesa Para Tv/monitor De 17 Até 30 Preto,91.14,149.9,129.99,0,0,129.99,0.0,0.0,129.99,0.0,0.0,FINISHED
"Smart TV Samsung 43"" Crystal UHD 4K 2023 Painel Dynamic Crystal Color - UN43CU8000GXZD",1529,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,FINISHED
Smartphone Samsung Galaxy M54 5G 128GB 8GB RAM 67'',1452.74,3351,1667.12,40784,202,1557.44,6626.29,81.4,1571.7,4080.91,63.88,FINISHED
Perfume Feminino Nina Rouge Nina Ricci EDT - 30ml,217.93,289,423.41,1198,35,445.17,799.6,28.28,436.17,0.66,0.81,FINISHED
Ar Condicionado Split Inverter LG Hi Wall DUAL Compact +AI 9000 BTUs Frio S3-Q12JAQAL - 220V,2159.11,3945.16,2149.38,23745,154,2149.38,23744.55,154.09,2149.38,23744.55,154.09,FINISHED
Ar Condicionado Split Inverter LG Hi Wall DUAL Compact +AI 9000 BTUs Frio S3-Q12JAQAL - 220V,2159.11,2945.16,2149.38,23745,154,2149.38,23744.55,154.09,2149.38,23744.55,154.09,FINISHED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2672.19,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Fritadeira Elétrica Air Fryer Nell Smart - 24L,231.83,449.9,256.84,1425,38,238.62,689.74,26.26,236.43,1335.69,36.55,APPROVED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2969.1,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Lava e Seca Samsung 11Kg Inox Look - WD11A4453BX,4229.06,6799,4001.03,40873,202,4133.76,40182.14,200.45,4069.49,53520.36,231.34,APPROVED
Tênis Olympikus Diffuse 4 Unissex,143.99,299.99,121.6,47,7,121.6,47.33,6.88,121.6,47.33,6.88,APPROVED
Jogo Cyberpunk 2077 - PS4 & PS5,120.95,279.9,132.3,835,29,136.94,638.03,25.26,132.79,1041.27,32.27,APPROVED
Bicicleta Infantil Aro 20 Caloi Ceci Branca,797.9,959.99,764.58,3240,57,766.13,3029.81,55.04,745.79,2985.88,54.64,APPROVED
Fogão 5 bocas Dako Magister Style com Mesa de Vidro e Tripla Chama - Bivolt,1457.19,2369,1708.66,9422,97,1701.04,17722.75,133.13,1695.43,9680.99,98.39,APPROVED
Kit 4 Chinelo Borracha Polo Culture Estampado Antiderrapante,51.15,74.9,52.92,2,1,52.92,1.98,1.41,52.92,1.98,1.41,APPROVED
Jogo de Taças para Vinho Vidro 385ml 6 Peças - Nadir Barone,48.4,64.99,91.01,110,11,98.28,0.24,0.49,98.28,0.24,0.49,APPROVED
Caixa de Bombom Lacta Favoritos,10.99,15.29,10.33,1,1,10.33,0.66,0.81,10.33,0.66,0.81,APPROVED
Sanduicheira Amvox AMS 370 Preta 750W,77.5,119.9,117.9,8,3,119.24,0.0,0.0,119.24,0.0,0.0,APPROVED
Refrigerador Philco 498 Litros French Door Inox PRF510I 127 Volts,6818.24,8857,5405.36,565434,752,5541.72,813484.0,901.93,5985.66,939940.34,969.51,APPROVED
Lavadora de Alta Pressão Electrolux Power Wash Plus 1800 PSI Bico Turbo e Escova Giratória - EWS31,479,749,441.14,460,21,433.31,554.99,23.56,423.54,662.16,25.73,APPROVED
"Smart TV HQ 60"" 4K Android 11 Sistema Ultrasound Design Slim HQSTV60NK",1979.1,2565.5,2323.66,85112,292,2417.17,131181.27,362.19,2293.22,113228.89,336.5,APPROVED
Tanquinho/Máquina de Lavar Roupas Semi-Automática 205Kg Newmaq Branca,477.34,599,517.23,1362,37,490.09,479.42,21.9,482.52,517.84,22.76,APPROVED
Geladeira/Refrigerador LG Frost Free Duplex 395L - GN-B392PLM,2999,4380.02,2999.3,1676,41,2999.6,3333.12,57.73,3000.2,6665.52,81.64,APPROVED
"Smartphone Samsung Galaxy S23 FE 5G 8GB RAM 256GB Tela infinita 6.4""",3644.1,4499,3972.62,10086,100,3947.45,18788.49,137.07,3896.84,32452.9,180.15,APPROVED
Faqueiro Inox Malibu 85 Peças - Tramontina,185.31,215.9,209.04,1939,44,203.56,351.49,18.75,195.22,405.97,20.15,APPROVED
